pokedex_number,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,generation,height_m,weight_kg,is_legendary,moves
412,Burmy,bug,,40,29,45,29,45,36,4,0.2,3.4,0,Bug Bite;Electroweb;Snore;Hidden Power
413,Wormadam,bug,grass,60,69,95,69,95,36,4,0.5,6.5,0,Thief;Psybeam;Round;Bug Bite;Energy Ball;Confusion;Bug Buzz;Dream Eater;Psychic;Hidden Power;Seed Bomb;Secret Power;Infestation;Struggle Bug;Venoshock;Leaf Storm;Solar Beam;Signal Beam;Bullet Seed;Sucker Punch;Electroweb;Shadow Ball;Razor Leaf;Hyper Beam;Giga Drain;Snore;Facade;Uproar;Giga Impact
414,Mothim,bug,flying,70,94,50,94,50,66,4,0.9,23.3,0,Gust;Thief;Psybeam;Round;Twister;Mud-Slap;Bug Bite;Energy Ball;U-turn;Confusion;Bug Buzz;Dream Eater;Psychic;Hidden Power;Silver Wind;Secret Power;Infestation;Struggle Bug;Air Cutter;Venoshock;Solar Beam;Air Slash;Ominous Wind;Signal Beam;Electroweb;Shadow Ball;Facade;Hyper Beam;Giga Drain;Snore;Giga Impact;Lunge;Acrobatics
415,Combee,bug,flying,30,30,42,30,42,70,4,0.3,5.5,0,Mud-Slap;Bug Bite;Gust;Air Cutter;Snore;Bug Buzz;Ominous Wind
416,Vespiquen,bug,flying,70,80,102,80,102,40,4,1.2,38.5,0,Gust;Power Gem;Thief;Round;Mud-Slap;Bug Bite;U-turn;Poison Sting;Bug Buzz;Hidden Power;Pursuit;Fury Swipes;Secret Power;Silver Wind;Cut;Fury Cutter;Infestation;Struggle Bug;Air Cutter;Venoshock;Slash;Attack Order;Air Slash;Ominous Wind;Signal Beam;Sludge Bomb;Hyper Beam;Snore;Facade;X-Scissor;Fell Stinger;Giga Impact;Acrobatics
417,Pachirisu,electric,,60,45,70,45,90,95,4,0.4,3.9,0,Thunder;Round;Covet;Volt Switch;Quick Attack;Headbutt;Mud-Slap;Dig;Charge Beam;Iron Tail;U-turn;Thunderbolt;Seed Bomb;Hidden Power;Secret Power;Cut;Discharge;Thunder Punch;Bite;Nuzzle;Echoed Voice;Last Resort;Hyper Fang;Electroweb;Spark;Facade;Snore;Rollout;Uproar
418,Buizel,water,,55,65,35,60,30,85,4,0.7,29.5,0,Strength;Double Slap;Round;Quick Attack;Hydro Pump;Brick Break;Headbutt;Focus Punch;Mud-Slap;Tail Slap;Dig;Waterfall;Iron Tail;Brine;Water Pulse;Scald;Icy Wind;Hidden Power;Pursuit;Fury Swipes;Secret Power;Water Gun;Aqua Jet;Fury Cutter;Surf;Power-Up Punch;Slash;Ice Punch;Ice Beam;Double Hit;Rock Smash;Echoed Voice;Facade;Snore;Aqua Tail;Dive
419,Floatzel,water,,85,105,55,85,50,115,4,1.1,33.5,0,Focus Punch;Dig;Scald;Fury Swipes;Secret Power;Power-Up Punch;Ice Punch;Rock Smash;Focus Blast;Double Slap;Round;Brick Break;Headbutt;Mud-Slap;Iron Tail;Brine;Pursuit;Aqua Jet;Slash;Ice Beam;Double Hit;Echoed Voice;Waterfall;Crunch;Payback;Water Gun;Surf;Facade;Hyper Beam;Aqua Tail;Strength;Quick Attack;Hydro Pump;Tail Slap;Water Pulse;Icy Wind;Hidden Power;Fury Cutter;Snore;Ice Fang;Giga Impact;Dive
420,Cherubi,grass,,45,35,45,62,53,35,4,0.4,3.3,0,Round;Energy Ball;Dazzling Gleam;Weather Ball;Take Down;Seed Bomb;Hidden Power;Secret Power;Solar Beam;Bullet Seed;Petal Blizzard;Razor Leaf;Facade;Giga Drain;Rollout;Snore
421,Cherrim,grass,,70,60,70,87,78,85,4,0.5,9.3,0,Petal Dance;Round;Energy Ball;Dazzling Gleam;Weather Ball;Take Down;Seed Bomb;Hidden Power;Secret Power;Solar Beam;Bullet Seed;Petal Blizzard;Razor Leaf;Hyper Beam;Giga Drain;Rollout;Snore;Facade;Giga Impact
422,Shellos,water,,76,48,48,57,62,34,4,0.3,6.3,0,Body Slam;Round;Headbutt;Mud-Slap;Ancient Power;Brine;Water Pulse;Scald;Icy Wind;Hidden Power;Secret Power;Infestation;Surf;Mud Bomb;Muddy Water;Ice Beam;Sludge;Earth Power;Facade;Snore;Dive
423,Gastrodon,water,ground,111,83,68,92,82,39,4,0.9,29.9,0,Strength;Body Slam;Round;Stone Edge;Headbutt;Waterfall;Mud-Slap;Ancient Power;Dig;Rock Slide;Brine;Water Pulse;Scald;Earthquake;Icy Wind;Hidden Power;Secret Power;Bulldoze;Infestation;Surf;Mud Bomb;Muddy Water;Ice Beam;Sludge;Earth Power;Rock Smash;Sludge Wave;Sludge Bomb;Snore;Hyper Beam;Facade;Giga Impact;Dive
424,Ambipom,normal,,75,100,66,60,66,115,4,1.2,20.3,0,Fake Out;Fire Punch;Covet;Focus Punch;Dig;U-turn;Thunderbolt;Fury Swipes;Secret Power;Power-Up Punch;Solar Beam;Ice Punch;Rock Smash;Thunder;Double Slap;Bounce;Round;Brick Break;Headbutt;Mud-Slap;Shadow Claw;Slam;Iron Tail;Scratch;Seed Bomb;Pursuit;Thunder Punch;Double Hit;Dual Chop;Knock Off;Payback;Retaliate;Cut;Astonish;Last Resort;Facade;Hyper Beam;Strength;Thief;Revenge;Tail Slap;Foul Play;Water Pulse;Dream Eater;Hidden Power;Fury Cutter;Low Sweep;Shadow Ball;Snore;Uproar;Giga Impact;Acrobatics
425,Drifloon,ghost,flying,90,50,34,60,44,70,4,0.4,1.2,0,Body Slam;Weather Ball;Thunderbolt;Secret Power;Explosion;Ominous Wind;Thunder;Gust;Round;Constrict;Mud-Slap;Silver Wind;Hex;Knock Off;Payback;Cut;Astonish;Facade;Rollout;Thief;Charge Beam;Dream Eater;Psychic;Icy Wind;Hidden Power;Air Cutter;Sucker Punch;Shadow Ball;Snore;Acrobatics
426,Drifblim,ghost,flying,150,80,44,90,54,80,4,1.2,15.0,0,Body Slam;Weather Ball;Thunderbolt;Fly;Secret Power;Explosion;Ominous Wind;Thunder;Gust;Phantom Force;Round;Constrict;Mud-Slap;Silver Wind;Hex;Knock Off;Payback;Cut;Astonish;Facade;Hyper Beam;Rollout;Thief;Charge Beam;Dream Eater;Psychic;Icy Wind;Hidden Power;Air Cutter;Sucker Punch;Shadow Ball;Snore;Giga Impact;Acrobatics
427,Buneary,normal,,55,66,44,44,56,85,4,0.4,5.5,0,Fake Out;Hyper Voice;Fire Punch;Covet;Focus Punch;Dig;Thunderbolt;Secret Power;Power-Up Punch;Solar Beam;Ice Punch;Rock Smash;Jump Kick;Circle Throw;Bounce;Round;Headbutt;Mud-Slap;Iron Tail;Dizzy Punch;Thunder Punch;Ice Beam;Double Hit;Retaliate;Cut;Drain Punch;Last Resort;Facade;Quick Attack;Charge Beam;Sky Uppercut;Water Pulse;Pound;Hidden Power;Shadow Ball;Snore;Uproar
428,Lopunny,normal,,65,136,94,54,96,135,4,1.2,33.3,0,Fake Out;Hyper Voice;Fire Punch;Covet;Focus Punch;Dig;Thunderbolt;Secret Power;Power-Up Punch;Solar Beam;Ice Punch;Rock Smash;Jump Kick;Circle Throw;Focus Blast;Thunder;Bounce;Round;Headbutt;Mud-Slap;Iron Tail;Dizzy Punch;High Jump Kick;Thunder Punch;Ice Beam;Double Hit;Retaliate;Cut;Drain Punch;Last Resort;Facade;Hyper Beam;Strength;Quick Attack;Charge Beam;Sky Uppercut;Water Pulse;Pound;Hidden Power;Brutal Swing;Fury Cutter;Low Sweep;Shadow Ball;Snore;Uproar;Giga Impact
429,Mismagius,ghost,,60,60,60,105,105,105,4,0.9,4.4,0,Shadow Sneak;Hyper Voice;Thunderbolt;Secret Power;Ominous Wind;Thunder;Power Gem;Phantom Force;Psybeam;Round;Headbutt;Dazzling Gleam;Hex;Dark Pulse;Echoed Voice;Mystical Fire;Payback;Energy Ball;Astonish;Facade;Hyper Beam;Thief;Charge Beam;Foul Play;Dream Eater;Psychic;Icy Wind;Hidden Power;Sucker Punch;Shadow Ball;Snore;Uproar;Giga Impact
430,Honchkrow,dark,flying,100,125,52,105,52,71,4,0.9,27.3,0,Twister;Fly;Superpower;Secret Power;Night Slash;Ominous Wind;Round;Assurance;Steel Wing;Mud-Slap;Pursuit;Dark Pulse;Pluck;Peck;Payback;Retaliate;Heat Wave;Astonish;Drill Peck;Sky Attack;Facade;Hyper Beam;Snarl;Thief;Incinerate;Wing Attack;Foul Play;Dream Eater;Psychic;Icy Wind;Hidden Power;Brave Bird;Air Cutter;Sucker Punch;Shadow Ball;Snore;Uproar;Giga Impact
431,Glameow,normal,,49,55,42,42,37,85,4,0.5,3.9,0,Thunder;Fake Out;Wake-Up Slap;Hyper Voice;Thief;Round;Covet;Assurance;Knock Off;Quick Attack;Headbutt;Dig;Mud-Slap;Shadow Claw;Payback;Retaliate;Iron Tail;Scratch;Foul Play;Water Pulse;Thunderbolt;Dream Eater;U-turn;Hidden Power;Cut;Fury Swipes;Secret Power;Fury Cutter;Bite;Slash;Sucker Punch;Echoed Voice;Last Resort;Shadow Ball;Play Rough;Snore;Facade
432,Purugly,normal,,71,82,64,64,59,112,4,1.0,43.8,0,Fake Out;Hyper Voice;Body Slam;Covet;Dig;U-turn;Thunderbolt;Fury Swipes;Secret Power;Bulldoze;Thunder;Round;Assurance;Headbutt;Mud-Slap;Shadow Claw;Iron Tail;Scratch;Bite;Slash;Echoed Voice;Play Rough;Wake-Up Slap;Knock Off;Payback;Retaliate;Cut;Last Resort;Facade;Hyper Beam;Rollout;Thief;Quick Attack;Foul Play;Water Pulse;Dream Eater;Hidden Power;Fury Cutter;Sucker Punch;Shadow Ball;Snore;Giga Impact
433,Chingling,psychic,,45,30,50,65,50,45,4,0.2,0.6,0,Psyshock;Hyper Voice;Round;Knock Off;Zen Headbutt;Charge Beam;Dazzling Gleam;Confusion;Dream Eater;Psychic;Icy Wind;Hidden Power;Secret Power;Astonish;Stored Power;Signal Beam;Echoed Voice;Last Resort;Shadow Ball;Facade;Snore;Rollout;Uproar
434,Stunky,poison,dark,63,63,47,41,41,74,4,0.4,19.2,0,Thief;Round;Double-Edge;Headbutt;Crunch;Dig;Mud-Slap;Incinerate;Shadow Claw;Payback;Feint;Flame Burst;Iron Tail;Scratch;Foul Play;Hidden Power;Pursuit;Fury Swipes;Secret Power;Cut;Night Slash;Fury Cutter;Astonish;Acid Spray;Venoshock;Bite;Explosion;Slash;Belch;Flamethrower;Fire Blast;Sucker Punch;Dark Pulse;Rock Smash;Smog;Shadow Ball;Play Rough;Sludge Bomb;Snore;Facade;Snarl
435,Skuntank,poison,dark,103,93,67,71,61,84,4,1.0,38.0,0,Dig;Feint;Flame Burst;Fury Swipes;Secret Power;Night Slash;Venoshock;Explosion;Belch;Rock Smash;Smog;Sludge Bomb;Round;Headbutt;Mud-Slap;Shadow Claw;Poison Jab;Iron Tail;Scratch;Pursuit;Bite;Slash;Fire Blast;Flamethrower;Dark Pulse;Play Rough;Crunch;Payback;Cut;Astonish;Facade;Hyper Beam;Snarl;Strength;Thief;Double-Edge;Incinerate;Foul Play;Hidden Power;Fury Cutter;Acid Spray;Sucker Punch;Shadow Ball;Snore;Giga Impact
436,Bronzor,steel,psychic,57,24,86,24,86,23,4,0.5,60.5,0,Psyshock;Round;Charge Beam;Ancient Power;Payback;Extrasensory;Rock Slide;Confusion;Dream Eater;Earthquake;Psychic;Hidden Power;Secret Power;Bulldoze;Solar Beam;Signal Beam;Flash Cannon;Shadow Ball;Facade;Snore;Rollout
437,Bronzong,steel,psychic,67,89,116,79,116,33,4,1.3,187.0,0,Strength;Psyshock;Round;Iron Head;Zen Headbutt;Charge Beam;Extrasensory;Payback;Ancient Power;Rock Slide;Confusion;Dream Eater;Earthquake;Psychic;Hidden Power;Secret Power;Bulldoze;Solar Beam;Explosion;Signal Beam;Flash Cannon;Rock Smash;Shadow Ball;Facade;Hyper Beam;Snore;Rollout;Giga Impact
438,Bonsly,rock,,50,80,95,10,45,10,4,0.5,15.0,0,Self-Destruct;Thief;Round;Covet;Double-Edge;Brick Break;Headbutt;Rock Slide;Dig;Slam;Foul Play;Hidden Power;Secret Power;Explosion;Earth Power;Sucker Punch;Smack Down;Facade;Snore;Rollout;Uproar
439,Mime Jr.,psychic,fairy,20,25,45,70,90,60,4,0.6,13.0,0,Fake Out;Covet;Focus Punch;Thunderbolt;Confusion;Secret Power;Solar Beam;Thunder;Double Slap;Psyshock;Psybeam;Round;Brick Break;Headbutt;Mud-Slap;Signal Beam;Wake-Up Slap;Drain Punch;Facade;Thief;Charge Beam;Pound;Dream Eater;Psychic;Icy Wind;Hidden Power;Infestation;Shadow Ball;Snore;Uproar
440,Happiny,normal,,100,5,5,15,65,30,4,0.6,24.4,0,Hyper Voice;Round;Covet;Zen Headbutt;Headbutt;Mud-Slap;Incinerate;Water Pulse;Pound;Dream Eater;Psychic;Icy Wind;Hidden Power;Secret Power;Mud Bomb;Solar Beam;Fire Blast;Drain Punch;Flamethrower;Echoed Voice;Last Resort;Shadow Ball;Facade;Snore;Rollout;Uproar
441,Chatot,normal,flying,76,65,45,92,42,91,4,0.5,1.9,0,Peck;Hyper Voice;Thief;Round;Twister;Steel Wing;Mud-Slap;U-turn;Fly;Heat Wave;Fury Attack;Hidden Power;Secret Power;Chatter;Air Cutter;Ominous Wind;Synchronoise;Echoed Voice;Sky Attack;Facade;Snore;Uproar;Pluck;Boomburst
442,Spiritomb,ghost,dark,50,92,108,92,108,35,4,1.0,108.0,0,Shadow Sneak;Thief;Round;Retaliate;Foul Play;Water Pulse;Dream Eater;Psychic;Icy Wind;Hidden Power;Pursuit;Secret Power;Silver Wind;Infestation;Ominous Wind;Dark Pulse;Sucker Punch;Shadow Ball;Facade;Snore;Hyper Beam;Uproar;Snarl;Giga Impact
443,Gible,dragon,ground,58,70,45,40,45,42,4,0.7,20.5,0,Strength;Dragon Rush;Body Slam;Iron Head;Round;Dragon Breath;Double-Edge;Stone Edge;Headbutt;Twister;Dig;Mud-Slap;Incinerate;Shadow Claw;Rock Slide;Metal Claw;Iron Tail;Draco Meteor;Take Down;Earthquake;Hidden Power;Cut;Secret Power;Bulldoze;Fury Cutter;Thrash;Outrage;Slash;Earth Power;Fire Blast;Flamethrower;Rock Smash;Dragon Claw;Mud Shot;Rock Climb;Facade;Snore;Dragon Pulse
444,Gabite,dragon,ground,68,90,65,50,55,82,4,1.4,56.0,0,Strength;Dragon Rush;Body Slam;Iron Head;Round;Dragon Breath;Double-Edge;Stone Edge;Headbutt;Twister;Dig;Mud-Slap;Incinerate;Shadow Claw;Rock Slide;Metal Claw;Iron Tail;Draco Meteor;Take Down;Earthquake;Hidden Power;Cut;Secret Power;Bulldoze;Fury Cutter;Thrash;Outrage;Slash;Earth Power;Fire Blast;Flamethrower;Rock Smash;Dragon Claw;Mud Shot;Dual Chop;Rock Climb;Facade;Snore;Dragon Pulse
445,Garchomp,dragon,ground,108,170,115,120,95,92,4,1.9,95.0,0,Body Slam;Twister;Dig;Take Down;Secret Power;Bulldoze;Outrage;Rock Smash;Round;Iron Head;Brick Break;Stone Edge;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Poison Jab;Iron Tail;Earthquake;False Swipe;Slash;Fire Blast;Flamethrower;Dragon Claw;Mud Shot;Dual Chop;Rock Climb;Fire Fang;Crunch;Cut;Surf;Thrash;Facade;Hyper Beam;Aqua Tail;Dragon Pulse;Strength;Dragon Rush;Dragon Breath;Double-Edge;Incinerate;Metal Claw;Draco Meteor;Hidden Power;Brutal Swing;Fury Cutter;Earth Power;Dragon Tail;Snore;Giga Impact
446,Munchlax,normal,,135,85,40,40,85,5,4,0.6,105.0,0,Self-Destruct;Hyper Voice;Body Slam;Fire Punch;Covet;Zen Headbutt;Focus Punch;Thunderbolt;Superpower;Secret Power;Bulldoze;Chip Away;Power-Up Punch;Solar Beam;Belch;Ice Punch;Rock Smash;Thunder;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Earthquake;Seed Bomb;Pursuit;Thunder Punch;Ice Beam;Fire Blast;Flamethrower;Rock Climb;Retaliate;Lick;Surf;Last Resort;Facade;Rollout;Strength;Double-Edge;Incinerate;Water Pulse;Psychic;Icy Wind;Hidden Power;Shadow Ball;Snore;Uproar
447,Riolu,fighting,,40,70,40,35,40,60,4,0.7,20.2,0,Zen Headbutt;Focus Punch;Dig;Feint;Secret Power;Bulldoze;Power-Up Punch;Ice Punch;Rock Smash;Circle Throw;Vacuum Wave;Focus Blast;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Poison Jab;Iron Tail;Earthquake;High Jump Kick;Thunder Punch;Cross Chop;Bite;Blaze Kick;Dual Chop;Crunch;Payback;Retaliate;Force Palm;Drain Punch;Facade;Strength;Quick Attack;Sky Uppercut;Hidden Power;Fury Cutter;Low Sweep;Bullet Punch;Snore
448,Lucario,fighting,steel,70,145,88,140,70,112,4,1.2,54.0,0,Zen Headbutt;Focus Punch;Dig;Feint;Secret Power;Bulldoze;Power-Up Punch;Ice Punch;Rock Smash;Circle Throw;Vacuum Wave;Focus Blast;Round;Brick Break;Stone Edge;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Extreme Speed;Iron Tail;Poison Jab;Earthquake;High Jump Kick;Thunder Punch;Cross Chop;Bite;Blaze Kick;Flash Cannon;Dark Pulse;Dual Chop;Rock Climb;Crunch;Payback;Retaliate;Force Palm;Drain Punch;Facade;Hyper Beam;Dragon Pulse;Strength;Quick Attack;Sky Uppercut;Metal Claw;Water Pulse;Psychic;Hidden Power;Fury Cutter;Low Sweep;Shadow Ball;Bullet Punch;Snore;Close Combat;Giga Impact
449,Hippopotas,ground,,68,72,78,38,42,32,4,0.8,49.5,0,Strength;Body Slam;Revenge;Round;Double-Edge;Headbutt;Crunch;Dig;Mud-Slap;Rock Slide;Iron Tail;Water Pulse;Take Down;Earthquake;Superpower;Hidden Power;Secret Power;Bulldoze;Bite;Earth Power;Rock Smash;Facade;Snore
450,Hippowdon,ground,,108,112,118,68,72,47,4,2.0,300.0,0,Strength;Body Slam;Revenge;Iron Head;Round;Thunder Fang;Double-Edge;Fire Fang;Stone Edge;Headbutt;Crunch;Dig;Mud-Slap;Rock Slide;Iron Tail;Water Pulse;Take Down;Earthquake;Superpower;Hidden Power;Secret Power;Bulldoze;Bite;Earth Power;Rock Smash;Facade;Hyper Beam;Snore;Ice Fang;Giga Impact
451,Skorupi,poison,bug,40,50,90,30,55,65,4,0.8,12.0,0,Strength;Thief;Round;Knock Off;Cross Poison;Brick Break;Headbutt;Crunch;Dig;Mud-Slap;Bug Bite;Payback;Poison Jab;Iron Tail;Poison Sting;Hidden Power;Pursuit;Secret Power;False Swipe;Cut;Night Slash;Poison Fang;Fury Cutter;Struggle Bug;Infestation;Venoshock;Bite;Slash;Rock Smash;Dark Pulse;Shadow Ball;Poison Tail;Sludge Bomb;Facade;Snore;X-Scissor;Aqua Tail;Twineedle;Fell Stinger
452,Drapion,poison,dark,70,90,110,60,75,95,4,1.3,61.5,0,Thunder Fang;Dig;Bulldoze;Secret Power;Night Slash;Struggle Bug;Venoshock;Rock Smash;Sludge Bomb;Twineedle;Fell Stinger;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Poison Jab;Iron Tail;Earthquake;Pursuit;False Swipe;Poison Fang;Bite;Slash;Dark Pulse;Rock Climb;Poison Tail;X-Scissor;Knock Off;Fire Fang;Crunch;Payback;Retaliate;Poison Sting;Cut;Facade;Hyper Beam;Aqua Tail;Snarl;Strength;Thief;Cross Poison;Bug Bite;Hidden Power;Brutal Swing;Fury Cutter;Infestation;Shadow Ball;Snore;Ice Fang;Giga Impact
453,Croagunk,poison,fighting,48,61,40,61,40,50,4,0.7,23.0,0,Fake Out;Focus Punch;Dig;Feint;Dynamic Punch;Secret Power;Bulldoze;Venoshock;Power-Up Punch;Belch;Ice Punch;Rock Smash;Sludge Wave;Sludge Bomb;Vacuum Wave;Focus Blast;Bounce;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Poison Jab;Earthquake;Pursuit;Thunder Punch;Cross Chop;Mud Bomb;Dark Pulse;Dual Chop;Rock Climb;X-Scissor;Wake-Up Slap;Knock Off;Payback;Retaliate;Poison Sting;Astonish;Drain Punch;Facade;Strength;Thief;Revenge;Foul Play;Icy Wind;Hidden Power;Smelling Salts;Fury Cutter;Low Sweep;Sucker Punch;Shadow Ball;Bullet Punch;Snore
454,Toxicroak,poison,fighting,83,106,65,86,65,85,4,1.3,44.4,0,Fake Out;Focus Punch;Dig;Feint;Dynamic Punch;Secret Power;Bulldoze;Venoshock;Power-Up Punch;Belch;Ice Punch;Rock Smash;Sludge Wave;Sludge Bomb;Vacuum Wave;Focus Blast;Bounce;Round;Brick Break;Stone Edge;Headbutt;Rock Slide;Mud-Slap;Poison Jab;Earthquake;Pursuit;Thunder Punch;Cross Chop;Mud Bomb;Dark Pulse;Dual Chop;Rock Climb;X-Scissor;Wake-Up Slap;Knock Off;Payback;Retaliate;Poison Sting;Cut;Astonish;Drain Punch;Facade;Hyper Beam;Strength;Thief;Revenge;Foul Play;Icy Wind;Hidden Power;Smelling Salts;Fury Cutter;Low Sweep;Sucker Punch;Shadow Ball;Bullet Punch;Snore;Giga Impact
455,Carnivine,grass,,74,100,72,90,72,46,4,1.4,27.0,0,Cut;Thief;Round;Knock Off;Crunch;Mud-Slap;Bug Bite;Payback;Slam;Energy Ball;Leaf Tornado;Seed Bomb;Hidden Power;Secret Power;Vine Whip;Fury Cutter;Infestation;Acid Spray;Solar Beam;Bite;Bullet Seed;Razor Leaf;Hyper Beam;Giga Drain;Snore;Sludge Bomb;Facade;Power Whip;Giga Impact
456,Finneon,water,,49,49,56,49,61,66,4,0.4,7.0,0,Gust;Bounce;Psybeam;Round;Waterfall;Twister;Payback;Brine;U-turn;Water Pulse;Pound;Scald;Icy Wind;Hidden Power;Silver Wind;Secret Power;Water Gun;Surf;Air Cutter;Signal Beam;Ominous Wind;Ice Beam;Aurora Beam;Facade;Snore;Aqua Tail;Dive
457,Lumineon,water,,69,69,76,69,86,91,4,1.2,24.0,0,Gust;Bounce;Psybeam;Round;Waterfall;Twister;Payback;Brine;U-turn;Water Pulse;Pound;Scald;Icy Wind;Hidden Power;Silver Wind;Secret Power;Water Gun;Surf;Air Cutter;Signal Beam;Ominous Wind;Ice Beam;Aurora Beam;Facade;Snore;Hyper Beam;Aqua Tail;Giga Impact;Dive
458,Mantyke,water,flying,45,20,50,60,120,50,4,1.0,65.0,0,Bounce;Round;Hydro Pump;Waterfall;Headbutt;Twister;Wing Attack;Rock Slide;Mud-Slap;Slam;Water Pulse;Bubble;Scald;Take Down;Earthquake;Icy Wind;Hidden Power;Secret Power;Bulldoze;Surf;Air Cutter;Air Slash;Bubble Beam;Signal Beam;Ice Beam;Facade;Snore;Dive;Acrobatics
459,Snover,grass,ice,60,62,50,62,60,40,4,1.0,50.5,0,Stomp;Skull Bash;Round;Double-Edge;Avalanche;Headbutt;Mud-Slap;Energy Ball;Iron Tail;Water Pulse;Icy Wind;Seed Bomb;Hidden Power;Ice Shard;Secret Power;Solar Beam;Ice Punch;Wood Hammer;Ice Beam;Bullet Seed;Shadow Ball;Razor Leaf;Powder Snow;Giga Drain;Snore;Facade;Frost Breath
460,Abomasnow,grass,ice,90,132,105,132,105,30,4,2.2,135.5,0,Strength;Stomp;Focus Blast;Skull Bash;Round;Double-Edge;Avalanche;Brick Break;Headbutt;Focus Punch;Rock Slide;Mud-Slap;Energy Ball;Iron Tail;Water Pulse;Earthquake;Icy Wind;Seed Bomb;Hidden Power;Ice Shard;Secret Power;Bulldoze;Outrage;Solar Beam;Ice Punch;Wood Hammer;Ice Beam;Bullet Seed;Rock Smash;Shadow Ball;Rock Climb;Razor Leaf;Powder Snow;Giga Drain;Snore;Hyper Beam;Facade;Frost Breath;Giga Impact
461,Weavile,dark,ice,70,120,65,45,85,125,4,1.1,34.0,0,Fake Out;Focus Punch;Dig;Feint;Fury Swipes;Secret Power;Ice Shard;Night Slash;Power-Up Punch;Ice Punch;Rock Smash;Focus Blast;Round;Assurance;Avalanche;Brick Break;Headbutt;Mud-Slap;Shadow Claw;Poison Jab;Iron Tail;Scratch;Pursuit;False Swipe;Bite;Slash;Ice Beam;Double Hit;Dark Pulse;X-Scissor;Throat Chop;Knock Off;Payback;Retaliate;Cut;Surf;Facade;Hyper Beam;Snarl;Icicle Crash;Strength;Thief;Revenge;Quick Attack;Metal Claw;Foul Play;Dream Eater;Icy Wind;Hidden Power;Fury Cutter;Low Sweep;Shadow Ball;Snore;Crush Claw;Giga Impact
462,Magnezone,electric,steel,70,70,115,130,90,60,4,1.2,180.0,0,Thunder;Thunder Shock;Round;Iron Head;Volt Switch;Charge Beam;Thunderbolt;Hidden Power;Secret Power;Mirror Shot;Discharge;Zap Cannon;Explosion;Signal Beam;Flash Cannon;Electroweb;Wild Charge;Spark;Tri Attack;Hyper Beam;Snore;Rollout;Facade;Giga Impact
463,Lickilicky,normal,,110,85,95,80,95,50,4,1.7,140.0,0,Body Slam;Fire Punch;Zen Headbutt;Focus Punch;Dig;Thunderbolt;Secret Power;Bulldoze;Chip Away;Power-Up Punch;Solar Beam;Explosion;Belch;Muddy Water;Ice Punch;Rock Smash;Power Whip;Focus Blast;Thunder;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Slam;Iron Tail;Earthquake;Thunder Punch;Ice Beam;Fire Blast;Flamethrower;Rock Climb;Knock Off;Retaliate;Cut;Lick;Surf;Thrash;Facade;Hyper Beam;Rollout;Aqua Tail;Stomp;Strength;Thief;Incinerate;Water Pulse;Dream Eater;Icy Wind;Hidden Power;Smelling Salts;Brutal Swing;Hammer Arm;Dragon Tail;Shadow Ball;Snore;Giga Impact
464,Rhyperior,ground,rock,115,140,130,55,55,40,4,2.4,282.8,0,Horn Attack;Fire Punch;Thunder Fang;Focus Punch;Dig;Rock Wrecker;Thunderbolt;Take Down;Superpower;Bulldoze;Secret Power;Chip Away;Outrage;Power-Up Punch;Ice Punch;Rock Smash;Focus Blast;Thunder;Skull Bash;Iron Head;Round;Avalanche;Stone Edge;Brick Break;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Poison Jab;Iron Tail;Earthquake;Thunder Punch;Drill Run;Ice Beam;Fire Blast;Flash Cannon;Flamethrower;Smack Down;Rock Climb;Fire Fang;Crunch;Ancient Power;Payback;Fury Attack;Cut;Surf;Megahorn;Facade;Hyper Beam;Rollout;Aqua Tail;Dragon Pulse;Stomp;Strength;Dragon Rush;Thief;Incinerate;Icy Wind;Hidden Power;Brutal Swing;Fury Cutter;Hammer Arm;Earth Power;Dragon Tail;Snore;Ice Fang;Uproar;Crush Claw;Giga Impact
465,Tangrowth,grass,,100,100,125,110,50,50,4,2.0,128.6,0,Confusion;Secret Power;Bulldoze;Solar Beam;Rock Smash;Sludge Bomb;Giga Drain;Mega Drain;Power Whip;Focus Blast;Round;Constrict;Brick Break;Headbutt;Rock Slide;Mud-Slap;Slam;Poison Jab;Earthquake;Seed Bomb;Vine Whip;Absorb;Wake-Up Slap;Knock Off;Ancient Power;Payback;Energy Ball;Cut;Bullet Seed;Facade;Hyper Beam;Strength;Thief;Hidden Power;Infestation;Leaf Storm;Snore;Giga Impact
